Algorithm,Day,Keywords,Summary,Rater 1: completeness,Rater 1: grammaticality,Rater 2: completeness,Rater 2: grammaticality,Rater 3: completeness,Rater 3: grammaticality,Rater 4: completeness,Rater 4: grammaticality,Rater 5: completeness,Rater 5: grammaticality
TOWGS,11/04/13,freezing,i m glad that it s freezing,4,5,5,5,5,5,5,5,5,5
TOWGS,11/04/13,"safe, ccsu",hope my friends at ccsu stay safe,4,5,5,5,4,5,5,5,3,5
TOWGS,11/04/13,"richie, incognito",richie incognito never sees a nfl field again,5,5,4,3,5,5,2,3,5,4
TOWGS,11/04/13,report,closed streetlight report at 145 gladstone st,3,5,3,2,3,5,5,5,5,5
TOWGS,11/04/13,vote,vote for gerard o halloran for council,5,5,3,2,5,5,5,5,5,5
TOWGS,11/04/13,"shoot, gsp, mall, plaza",fuck is a shooting at the mall,4,5,5,4,5,5,5,3,5,4
TOWGS,11/04/13,"packers, rodgers, bears",if aaron rodgers out of a game,3,3,3,3,4,3,3,4,4,3
TOWGS,11/04/13,"duty, release, midnight, ghost, code",to the mall for call of duty,4,4,5,5,5,4,5,4,5,4
TOWGS,11/05/13,cold,i gotta pee but it s cold,3,5,5,5,5,5,5,5,5,5
TOWGS,11/05/13,"election, elections, christie",election day today and for the day,4,2,5,5,4,2,4,4,4,4
TOWGS,11/05/13,"duty, ghost, code",got call of duty of course lol,4,4,5,5,5,4,5,4,4,4
TOWGS,11/05/13,"album, mmlp2, eminem",eminem s new album eminem iloveyou psweshouldbetogethertoo,5,4,4,3,5,4,5,4,5,5
TOWGS,11/05/13,5th,it s already the 5th of november,5,5,5,5,5,5,5,5,5,5
TOWGS,11/05/13,major,tv lawyer seeks on air role on major news networks,5,5,5,5,5,5,4,4,4,4
TOWGS,11/05/13,"mayor, crack",this is the mayor of new york,3,5,5,5,4,5,5,5,5,5
TOWGS,11/05/13,bruins,love me i just go to the bruins,3,3,5,5,2,3,3,4,3,5
TOWGS,11/05/13,knicks,watching the knicks right now with this,4,2,4,5,4,4,5,5,4,5
TOWGS,11/06/13,"election, mayor",i will be the 109th mayor of nyc thanks to the city,4,4,5,4,5,5,5,5,5,5
TOWGS,11/06/13,"voted, vote, votes, artist",for the 2013 mtv ema artist on the rise,4,4,4,4,5,4,4,4,4,5
TOWGS,11/06/13,wcw,my wcw is the one and amp,2,2,5,5,3,3,3,4,3,5
TOWGS,11/06/13,"sunset, sky",love when the sky looks so good,4,5,5,4,5,5,5,4,5,5
